text,label,label_raw,speaker,image_path
"“Under federal law, you cannot engage in partisan gerrymandering.”",Fake,false,Fentrice Driskell,news_images\news_1_0.jpg
Imagen muestra que “950 inmigrantes derrumbaron el muro fronterizo entre México y Estados Unidos intentando ingresar a Estados Unidos” en abril 2026.,Fake,false,Instagram posts,news_images\news_1_1.jpg
"“As a result of the 'Big Beautiful Bill' 15 million Americans have been thrown off the healthcare that they need.""",Fake,barely-true,Bernie Sanders,news_images\news_1_2.jpg
“Secret Service remains unpaid” during the partial government shutdown.,Fake,false,Tim Scott,news_images\news_1_3.jpg
Video shows “unedited raw security footage” of the shooter at the April 25 White House Correspondents’ Association dinner.,Fake,false,Social Media,news_images\news_1_4.jpg
"“Tras el atentado a Trump”, en la cena de corresponsales de la Casa Blanca el 25 de abril, “Irán lanza un mensaje fuerte: ‘no le crean nada, miente’”.",Fake,false,Social Media,news_images\news_1_5.jpg
"U.S. Rep. Byron Donalds voted ""against three pay raises for military service members, including the largest pay raise for the military in 22 years.""",Fake,barely-true,Jay Collins,news_images\news_1_6.jpg
"“With one dose of ibogaine, more than 80% of people are free of (opioid) addiction. With two doses, it's more than 90%.”",Fake,barely-true,Joe Rogan,news_images\news_1_7.jpg
Video shows President Donald Trump at the Walter Reed National Military Medical Center.,Fake,false,Facebook posts,news_images\news_1_8.jpg
"Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",Fake,false,Social Media,news_images\news_1_9.jpg
"El papa León XIV ""pide destituir a Donald Trump"".",Fake,false,Social Media,news_images\news_1_10.jpg
“Thom Tillis is no longer a senator.”,Fake,false,Donald Trump,news_images\news_1_11.jpg
“Moulton voted with Republicans to thank ICE for protecting our homeland. He thanked ICE as they were terrorizing our communities and killed citizens in broad daylight.”,Fake,barely-true,Commonwealth Together PAC,news_images\news_1_12.jpg
Photos and clips show the moon from Artemis II.,Fake,false,Social Media,news_images\news_1_13.jpg
Video shows a US soldier crying and saying she misses home and her family.,Fake,false,Social Media,news_images\news_1_14.jpg
"As Nassau County Executive, I hired 600 new law enforcement officers and made Nassau the safest county in America.",Fake,barely-true,Bruce Blakeman,news_images\news_1_15.jpg
“We've had regime change.”,Fake,barely-true,Donald Trump,news_images\news_2_0.jpg
