text,label,label_raw,speaker,image_path
"“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",Real,true,Elizabeth Warren,news_images\Real_1_0.jpg
"“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",Real,true,James Clyburn,news_images\Real_1_1.jpg
“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Real,true,Francesca Hong,news_images\Real_1_2.jpg
“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,Real,true,Charles Blow,news_images\Real_1_3.jpg
“Gun violence is the leading killer of college-aged people in the U.S.”,Real,true,Moms Demand Action for Gun Sense In America,news_images\Real_1_4.jpg
"""The consumer confidence in this country has gone way down.""",Real,true,Cory Booker,news_images\Real_1_5.jpg
"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",Real,true,Cavalier Johnson,news_images\Real_1_6.jpg
“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,Real,true,Joel Kitchens,news_images\Real_1_7.jpg
Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,Real,true,Susan Crawford,news_images\Real_1_8.jpg
Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,Real,true,Common Cause,news_images\Real_1_9.jpg
"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",Real,true,Robin Vos,news_images\Real_1_10.jpg
Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,Real,true,Sara Jacobs,news_images\Real_1_11.jpg
"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",Real,true,Jay Rothman,news_images\Real_1_12.jpg
"""As of today, we have cut the flow of immigration by over half.""",Real,true,Kamala Harris,news_images\Real_1_13.jpg
Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance.”,Real,true,Social Media,news_images\Real_1_14.jpg
“Donald Trump said he was going to allow Medicare to negotiate drug prices. He never did. We did.”,Real,true,Kamala Harris,news_images\Real_1_15.jpg
“The most recent State Budget increased funding for the Department of Tourism by 98 percent.”,Real,true,Robert  Cowles,news_images\Real_1_16.jpg
"“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”",Real,true,Elizabeth Warren,news_images\Real_1_17.jpg
"JD Vance “literally wrote the foreword for the architect of the Project 2025 agenda.""",Real,true,Tim Walz,news_images\Real_1_18.jpg
"Says Tim Walz said he carried weapons in war, but “he has not spent a day in a combat zone.”",Real,true,JD Vance,news_images\Real_1_19.jpg
"""Tim Walz firmó una ley para dar licencia de conducir a inmigrantes ilegales en Minnesota"".",Real,true,Byron Donalds,news_images\Real_1_20.jpg
"""Tim Walz signed into law driver's licenses for illegal immigrants in Minnesota.""",Real,true,Byron Donalds,news_images\Real_1_21.jpg
