text,label,label_raw,image_path,source,url
House will consider resolution condemning Twitch streamer Hasan Piker for alleged antisemitism,Real,Mostly True,news_images\snopes_0.jpg,Snopes,https://www.snopes.com/fact-check/house-resolution-piker-antisemitism/
"Trump post saying he had Comey 'arrested,' threatening Kimmel is fake. Here's proof",Fake,Fake,news_images\snopes_2.jpg,Snopes,https://www.snopes.com/fact-check/fake-trump-post-comey-kimmel/
Did Pope Leo XIV say he'd 'probably' cheer for Peru over US in FIFA World Cup?,Real,Correct Attribution,news_images\snopes_3.jpg,Snopes,https://www.snopes.com/fact-check/pope-leo-peru-world-cup/
Posts claim Trump appointed Ghislaine Maxwell's former defense attorney as acting AG. Here's the real story,Fake,False,news_images\snopes_5.jpg,Snopes,https://www.snopes.com/fact-check/trump-ghislaine-maxwell-attorney-general/
Trump once posted video with image depicting Biden bound in truck,Real,True,news_images\snopes_7.jpg,Snopes,https://www.snopes.com/fact-check/trump-biden-bound-gagged-truck/
"US entered Iran war 'at the request of' Israel, State Department wrote",Real,True,news_images\snopes_8.jpg,Snopes,https://www.snopes.com/fact-check/us-iran-war-request-israel/
Did every US hospital receive secret DOD letter suspending pharma contracts? We inspected,Fake,False,news_images\snopes_9.jpg,Snopes,https://www.snopes.com/fact-check/dod-letter-hospitals/
Conservative influencer Jack Posobiec's '86 46' post resurfaces after Comey indictment,Real,True,news_images\snopes_10.jpg,Snopes,https://www.snopes.com/fact-check/jack-posobiec-8646-tweet/
Did Minnesota Senate Democrats oppose removing dead people from voter rolls? Here's the real story,Real,Mixture,news_images\snopes_12.jpg,Snopes,https://www.snopes.com/fact-check/minnesota-deceased-voter-rolls/
Contextualizing claims all new cars sold in US will include mandatory surveillance technology by 2027,Real,Mixture,news_images\snopes_13.jpg,Snopes,https://www.snopes.com/fact-check/car-surveillance-united-states/
Selfie shows suspected White House correspondents' dinner gunman shortly before shooting,Real,True,news_images\snopes_15.jpg,Snopes,https://www.snopes.com/fact-check/cole-allen-selfie/
No evidence Trump called Norah O'Donnell 'Nora O'Dumble' in social media post,Fake,Fake,news_images\snopes_16.jpg,Snopes,https://www.snopes.com/fact-check/donald-trump-norah-odonnell/
Did Trump endorse changing ICE's name to 'NICE'?,Real,True,news_images\snopes_17.jpg,Snopes,https://www.snopes.com/fact-check/ice-nice-name-change/
What to know about new US passport design with Trump portrait,Real,True,news_images\snopes_18.jpg,Snopes,https://www.snopes.com/fact-check/passport-trump-portrait/
Video shows Ilhan Omar misreading 'World War II' as 'World War 11.' Here's the full story,Real,Correct Attribution,news_images\snopes_19.jpg,Snopes,https://www.snopes.com/fact-check/video-ilhan-omar-world-war-ii/
